Brand,Title,Planet,People,Animals,Overall Rating,Description
Thunderpants USA,Thunderpants USA is a Portland based undergarment brand that is designed to fit and built to last.,5 out of 5,5 out of 5,0 out of 5,Great,"Thunderpants USA's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It manufactures locally to reduce its carbon footprint. It uses low impact non-toxic dyes in all its products.
Its labour rating is 'great'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. It traces all of its supply chain. It ensures payment of a living wage throughout its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Thunderpants USA is rated 'Great' based on information from our own research.
Last Updated: June 2020"
bleed,Bleed is a German brand driven by a sustainable lifestyle and a shared love of sport.,5 out of 5,4 out of 5,5 out of 5,Great,"bleed's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton cotton. It reuses its offcuts to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It traces most of its supply chain. It ensures payment of a living wage in most of its supply chain, however it does not specify a percentage. It audits most of its supply chain.
Its animal rating is 'great'. It states that its entire product range is vegan.
bleed is rated 'Great' based on information from our own research.
Last Updated: June 2020"
Bhumi,"Bhumi believes in sustainable luxury, paving the way for a new era in the textile industry by choosing fairtrade organic cotton for all of products.",5 out of 5,5 out of 5,5 out of 5,Great,"Bhumi's environment rating is 'great'. Its products are Global Organic Textile Standard (GOTS) certified organic cotton certified. It uses low impact non-toxic dyes in all of its products.
Its labour rating is 'great'. Its products are certified by Fairtrade International - Small Producers Organisations. It ensures payment of a living wage throughout its supply chain. It traces all of its supply chain.
Its animal rating is 'great'. It states that its entire product range is vegan.
Bhumi is rated 'Great' based on information from our own research.
Last Updated: June 2020"
Nube,Nube makes activewear inspired by the environmental crises with leggings and tops made from recycled waste.,5 out of 5,4 out of 5,0 out of 5,Great,"Nube's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It uses low impact non-toxic dyes in all its products. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of water and wastewater used in production.
Its labour rating is 'good'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits its suppliers regularly.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Nube is rated 'Good' based on information from our own research.
Last Updated: February 2020"
Living Crafts,"Living Crafts is an organic textile company from Germany that creates its products from certified organic cotton, organic Merino wool, organic wool and mulberry silk blend, and organic cotton and bamboo blend.",5 out of 5,4 out of 5,4 out of 5,Great,"Living Crafts's environment rating is 'great'. It uses a high proportion of eco-friendly materials. It uses renewable energy in its supply chain to reduce its climate impact. It uses low impact non-toxic dyes in all of its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. It monitors health and safety issues with an internal procedure. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces all of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep.
Living Crafts is rated 'Great' overall.
Last Updated: August 2020"
Girlfriend Collective,Girlfriend Collective is an American activewear brand that makes its essential and timeless pieces out of recycled materials.,4 out of 5,5 out of 5,0 out of 5,Great,"Girlfriend Collective's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. It reuses some of its offcuts to minimise textile waste. It ensures wastewater in its supply chain is treated and discharged properly. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'great'. Its factory is certified by Social Accountability International - SA8000. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It monitors health and safety issues through an third party audit of its final stage of production suppliers. It ensures payment of a living wage in the final stage of production. It traces most of its supply chain.
his brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Girlfriend Collective is rated 'Great' based on information from our own research.
Last Updated: June 2020"
Organic Basics,"Organic Basics is an underwear, activewear and essentials brand made in Europe.",5 out of 5,4 out of 5,4 out of 5,Great,"Organic Basics's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It uses renewable energy in its supply chain to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It audits or visits most of its suppliers.
Its animal rating is 'good'. It does not use fur, leather, down or exotic animal skin. It uses recycled wool and exotic animal hair.
Organic Basics is rated 'Great' based on information from our own research.
Last Updated: June 2020"
Vege Threads,"Vege Threads is ECA certified & makes all of its clothing in Australia. Their range of sustainable, eco friendly fashion includes men's and women's basics, as well as women's activewear and swimwear.",5 out of 5,5 out of 5,4 out of 5,Great,"Vege Threads environmental rating is 'great'. All of its cotton garments are made from 100% certified Global Organic Textile Standard (GOTS). GOTS imposes strict environmental criteria along the entire organic textiles supply chain, from resource extraction to packaging of the final product. It also uses Modal, which is a material made from wood pulp cellulose from beech trees. Vege Threads use a non-toxic solvent during the production process and close to 100% of the solvent is recovered - what is not is broken down in water treatment plants.
Its labour rating is 'great'. All Australian-made products are certified by Ethical Clothing Australia. Its Australian supply chain is audited to verify that all workers within it are receiving their legal entitlements. Go to Ethical Clothing Australia to learn more. Vege Threads makes all of its clothes in Australia.
Its animal welfare rating is 'good'. It does not use fur, angora or wool, but has collaborated with BB Shoes to produce a line of sandals made from RSPCA and Government-controlled culled Kangaroo Leather.
Vege Threads donates a portion of its profits to a Community Development Foundation in Bali and it is a leader in environmental sustainability and labour rights.
Vege Threads is rated as 'Great' based on our own research.
Last Updated: May 2017"
Elle Evans,Elle Evans creates sustainable swimwear for people who care about fashion and the future,5 out of 5,4 out of 5,0 out of 5,Good,"Elle Evans' environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It reuses all of its offcuts to minimise textile waste. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. Its final stage of production is undertaken in Australia, a low risk country for labour abuse. It traces all of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. It visits its suppliers regularly.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Elle Evans is rated 'Great' based on information from our own research.
Last Updated: March 2020"
Sage Larock,Sage Larock is an LA based luxury swimwear brand.,5 out of 5,3 out of 5,4 out of 5,Good,"Sage Larock's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It manufactures locally to reduce its carbon footprint. It uses low impact non-toxic dyes in some of its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin, exotic animal hair or angora. It uses silk.
Sage Larock is rated 'Good' based on information from our own research.
Last Updated: June 2020"
